_id,Project Name,Subtype,Current Status,Capacity (MW),Year of Completion,undefined,Country list of Sponsor/Developer,Sponsor/Developer Company,Country list of Lender/Financier,Lender/Financier Company,Country list of Construction/EPC,Construction Company/EPC Participant,Country,Province/State,District,undefined_1,Tributary,Latitude,Longitude,Proximity,Avg. Annual Output (MWh),undefined_2,Data Source,Announcement/More Information,Link,Latest Update,the_geom
55,Baluchaung-2,Hydro,Operational,168,1954,,Myanmar,MEPE (Myanmar),Japan,Japanese assistance (Japan),, ,Myanmar,Kayah,Loikaw,,Nam Pawn,19.557,97.358, , ,,Myanmar Institute for Peace and Security,"http://www.moee.gov.mm/en/ignite/page/288: 84 MW in 1960, 84 MW in 1974; https://www.mmtimes.com/national-news/24881-baluchaung-no-2-hydropower-plant-rehabilitated.html; https://en.wikipedia.org/wiki/List_of_power_stations_in_Myanmar", ,,0101000020E6100000F4FDD478E95658403BDF4F8D978E3340
56,Baluchaung-3,Hydro,Operational,52,2015,,Myanmar,Future Energy (Myanmar),Japan,Japanese assistance (Japan),, ,Myanmar,Kayah,Loikaw,,Nam Pawn,19.546,97.397, , ,,Myanmar Institute for Peace and Security,"http://www.moee.gov.mm/en/ignite/page/288, https://www.mmtimes.com/national-news/24881-baluchaung-no-2-hydropower-plant-rehabilitated.html; https://www.ifc.org/wps/wcm/connect/07b1eba5-9c63-4f7c-8674-d463732a0395/Copy+of+18+02+07+MYA+SEA+HP+Database+WB-I", ,,0101000020E6100000C520B07268595840B29DEFA7C68B3340
57,Bamnet Narong - BSE Solar Power Plant,Solar,Operational,16,,,Thailand,"Bangchak Solar Energy Company, Ltd.",,,, ,Thailand,Chaiyaphum,Bamnet Narong,,Mun-Chi,15.4211,101.699, ,21338.47,,World Resources Institute,http://www.bangchak.co.th, ,,0101000020E610000062105839B46C5940F2B0506B9AD72E40
58,Bamnet Narong - BSP Solar Power Plant,Solar,Operational,22.5,,,Thailand,Siam Solar Generation Company Limited,,,, ,Thailand,Chaiyaphum,Bamnet Narong,,Mun-Chi,15.445,101.788, ,30007.22,,World Resources Institute,http://www.bangkoksolarpower.com/en/reference_project, ,,0101000020E610000043AD69DE71725940A4703D0AD7E32E40
59,Bamnet Narong power station,Coal,Under Construction,56,2020,,Thailand,ASEAN Potash Mining Company (Thailand),,,, ,Thailand,Chaiyaphum,Bamnet Narong,,Mun-Chi,15.5003,101.686, , ,,Global Energy Monitor,https://www.sourcewatch.org/index.php/Bamnet_Narong_power_station, ,,0101000020E61000005DFE43FAED6B59408EAF3DB324002F40
60,Ban Beung Power Plant,Biomass,Operational,9.9,2012,,Thailand,"Advance Clean Power Co., Ltd.",,,, ,Thailand,Chon Buri,Ban Bung,,Chao Phraya-Ping,13.2449,101.306, , ,,Absolute Clean Energy,Wood residue and barks,https://www.ace-energy.co.th/en/our-business/projects/biomass-power-plant-projects/22/ban-bueng-power-plant; https://cdm.unfccc.int/Projects/DB/RWTUV1354513629.21/view,,0101000020E6100000A4DFBE0E9C535940E8F692C6687D2A40
61,Ban Chan De Hydropower Plant,Hydro,Under Construction,18,2020,,Thailand,EGAT,,,, ,Thailand,Kanchanaburi,Muang Kanchanaburi,,Nam Mae Khlong Mainstem,14.1881,99.3091,"Actual location unknown, currently sited at locality in link/announcement", ,,Electricity Generating Authority of Thailand, , ,,0101000020E6100000AB7823F3C8D35840381092054C602C40
62,Ban Chat (Thủy điện Bản Chát),Hydro,Operational,220,2013,,Vietnam,EVN,,,Vietnam,Infrastructure Development and Construction Corporation(LICOGI),Vietnam,Lai Châu,Than Uyên,,Black-Li Xian,21.8611,103.828, , ,,Vietnam Electricity,https://www.licogi166.vn/en/cong-trinh-thuy-dien-ban-chat-a59.html, ,,0101000020E610000054742497FFF45940314278B471DC3540
63,Ban Coc,Hydro,Operational,18,2009,,Vietnam,Que Phong Hydropower JSC,,,, ,Vietnam,Nghệ An,Quế Phong,,Song Con,19.6053,104.859, ,80000,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/ban-coc-Hydropower, ,,0101000020E6100000E5D022DBF9365A40D044D8F0F49A3340
64,Ban Khun Klang Dam,Hydro,Operational,0.2,1982,,Thailand,EGAT (Thailand),,,, ,Thailand,Chiang Mai,Chom Thong,,Chao Phraya-Ping,18.5334,98.522,"Actual location unknown, currently sited at locality in link/announcement", ,,EGAT,https://www.egat.co.th/en/sustainable-development/royally-initiated-development-projects, ,,0101000020E6100000FA6184F068A158408DB454DE8E883240
65,Ban Kluai Solar Power Plant,Solar,Operational,7.4,,,Thailand; Japan,"Gunkul Chubu Powergen Company Limited (Thailand, Japan)",,,, ,Thailand,Phetchabun,Chon Daen,,Nan,16.0488,100.743, ,9869.042,,World Resources Institute,http://www.gunkul.com, ,,0101000020E610000001DE02098A2F5940780B24287E0C3040
66,Ban Koum,Hydro,Planned,1872,,,Thailand; Laos,Italian Thai and Asian Corp Holdings Limited (Thailand),,,, ,Thailand,Ubon Ratchathani,Khong Chiam,,Mekong Mainstream - Lower,15.4179,105.587, , ,,"Ministry of Energy and Mines, Lao PDR","Signed MOU 25/3/2008, passed on 25/09/2010 first time, passed 25/09/2011", ,,0101000020E6100000E86A2BF697655A40124E0B5EF4D52E40
67,Ban Krut Power Plant,Gas,Unknown,1400,,,"Thailand; Japan; Hong Kong, China",Union Power Development Co. Ltd. (Thailand); Tomen Co. (Japan); Toyota Tsusho (Japan); Shubu Electric (Japan); Hong Kong Electric,,,, ,Thailand,Rayong,Ban Khai,,Coastal Rivers Rayong Chon Buri,12.8473,101.4,"Actual location unknown, currently sited at locality in link/announcement", ,,Greenpeace,https://www.greenpeace.org/archive-seasia/ph/PageFiles/106311/rpt_ce_edison.pdf, ,,0101000020E6100000840D4FAF945959406F2F698CD6B12940
68,Ban Ra,Hydro,Operational,18,2012,,Vietnam,Dong Bac. EL JSC,,,, ,Vietnam,Cao Bằng,Trùng Khánh,,Pearl,22.859,106.7, ,70000,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/th-y-di-n-b-n-r, ,,0101000020E6100000696FF085C9AC5A4096438B6CE7DB3640
69,Ban Santi,Hydro,Operational,1.28,1981,,Thailand,EGAT (Thailand),,,, ,Thailand,Yala,Bannang Star,,Pattani,6.14179,101.294,"Actual location unknown, currently sited at locality in link/announcement", ,,EGAT,https://books.google.com/books?id=Q7YL5MkwRmEC&pg=PA181&lpg=PA181&dq=pattani+dam+and+ban+santi&source=bl&ots=KrgIJqUqVX&sig=ACfU3U3vz9GmV37AtuRdQ110LjyU6meqCg&hl=en&sa=X&ved=2ahUKEwias-rUz7XlAhWBmuAKHeL8CLIQ6AEwAXoECAkQAQ; https://www.egat.co.th/en/susta, ,,0101000020E610000074B515FBCB5259406ADC9BDF30911840
70,Ban Ve (Thủy điện Bản Vẽ),Hydro,Operational,320,2010,,Vietnam,EVN (Vietnam),,,Vietnam,Song Da Construction Corp.,Vietnam,Nghệ An,Tương Dương,,Song Ca,19.3411,104.488, , ,,Wikipedia,https://www.power-technology.com/projects/ban-ve-Hydro/; https://data.mendeley.com/datasets/ht9k5p3vdb/1, ,03:31:20,0101000020E610000033333333331F5A40AC5626FC52573340
71,Ban Yang Dam,Hydro,Operational,0.13,1972,,Thailand,EGAT (Thailand),,,, ,Thailand,Chiang Mai,Mae Chaem,,Chao Phraya-Ping,18.5675,98.4418,"Actual location unknown, currently sited at locality in link/announcement", ,,EGAT,https://www.egat.co.th/en/sustainable-development/royally-initiated-development-projects, ,,0101000020E610000035EF3845479C58402827DA5548913240
72,Bang Ban Solar Power Plant,Solar,Operational,7,,,Thailand,"Bangkok Solar Power Company, Ltd.",,,, ,Thailand,Phra Nakhon Si Ayutthaya,Bang Ban,,Chao Phraya-Ping,14.4418,100.481, ,9335.58,,World Resources Institute,http://www.bangkoksolarpower.com/en/reference_project, ,,0101000020E6100000105839B4C81E5940E0BE0E9C33E22C40
73,Bang Bo,Gas,Operational,350,2000,,Thailand,Eastern Power and Electric Company,,,, ,Thailand,Samut Prakan,Bang Bo,,Chao Phraya-Ping,13.492,100.842, ,1432922,,GEODB,http://www.alstom.com/press-centre/2013/1/alstom-will-service-and-upgrade-bang-bo-gas-fired-power-plant-in-thailand/, ,,0101000020E610000012143FC6DC35594096438B6CE7FB2A40
74,Bang Lang Dam,Hydro,Operational,76,1981,,Thailand,EGAT (Thailand),,,, ,Thailand,Yala,Bannang Star,,Pattani,6.1555,101.273, , ,,Wikipedia, , ,,0101000020E6100000B6F3FDD478515940AC1C5A643B9F1840
75,Bang Pakong,Gas,Operational,4384,,,Thailand,Electric Generating Authority of Thailand,Thailand,Electric Generating Authority of Thailand,Thailand,Electric Generating Authority of Thailand,Thailand,Chachoengsao,Bang Pakong,,Chao Phraya-Ping,13.501,101.025, ,17948380,,GEODB,http://www.egat.co.th/en/index.php?option=com_content&view=article&id=92&Itemid=118, ,,0101000020E6100000AF25E4839E4159408D976E1283002B40
76,Bang Pakong Power Plant,Gas,Operational,2490,1985,,Thailand,EGAT (Thailand),,,, ,Thailand,Chachoengsao,Bang Pakong,,Chao Phraya-Ping,13.5014,101.025, , ,,Electricity Generating Authority of Thailand,https://www.egat.co.th/en/information/power-plants-and-dams?view=article&id=37, ,,0101000020E61000009A999999994159407077D66EBB002B40
77,Bang Sai Solar Power Plant,Solar,Operational,1.7,,,Thailand,"Bangkok Solar Power Company, Ltd.",,,, ,Thailand,Phra Nakhon Si Ayutthaya,Bang Sai,,Chao Phraya-Ping,14.3215,100.302, ,2267.212,,World Resources Institute,http://www.bangkoksolarpower.com/en/reference_project, ,,0101000020E61000008FC2F5285C135940F853E3A59BA42C40
78,Bang Wou Power Plant,Biomass,Unknown,3,1987,,Thailand,"Advance Power Conversion Co., Ltd.",,,, ,Thailand,Suphan Buri,Muang Suphanburi,,Tha Chin,14.5582,100.007,"Actual location unknown, currently sited at locality in link/announcement", ,,Advance Power Conversion Co.,Rice husk,http://www.apcon.co.th/wp-content/uploads/2019/04/APCON-presentation-R11.pdf,,0101000020E6100000637FD93D7900594092E86514CB1D2D40
79,Bangchak Solar Power Plant,Solar,Operational,16,,,Thailand,"Bangchak Solar Energy Company, Ltd.",,,, ,Thailand,Phra Nakhon Si Ayutthaya,Bang Pa-In,,Chao Phraya-Ping,14.1691,100.553, ,21338.47,,World Resources Institute,http://www.bangchak.co.th, ,,0101000020E6100000A54E401361235940D881734694562C40
80,Bangchak Solar Power Project,Solar,Operational,44.5,2013,,Thailand,"SOLARCO COMPANY LIMITED (Thailand), Yanhee EGCO Holding (Thailand)",ADB,ADB,, ,Thailand,Phra Nakhon Si Ayutthaya,Bang Pa-In,,Chao Phraya-Ping,14.1665,100.553, , ,,ADB,https://www.adb.org/projects/46934-014/main#project-pds, ,,0101000020E61000001D38674469235940DA38622D3E552C40
81,Bangkok Hsfc Plant 2R,Coal,Operational,36,2000,,Thailand,Hiang Seng Fibre Container Co (Thailand),,,, ,Thailand,Phra Nakhon Si Ayutthaya,Nakhon Luang,,Pasak,14.4,100.583, , ,,Global Energy Monitor,http://enipedia.tudelft.nl/wiki/Bangkok_Hsfc_Plant_Powerplant, ,,0101000020E61000006FF085C954255940CDCCCCCCCCCC2C40
82,Bangkok Kamphaeng Saen East,Waste,Unknown,8,,,Thailand,"Bangkok Greenpower Co., Ltd.",United Kingdom,Xentolar Holdings Ltd. (UK); Sindicatum Carbon Capital Ltd. (UK),, ,Thailand,Nakhon Pathom,Kamphaeng Saen,,Tha Chin,14.0641,99.9475, , ,,UNFCCC,Landfill gas collection,https://cdm.unfccc.int/Projects/DB/SGS-UKL1267631662.24/view,,0101000020E61000005FD218ADA3FC5840A9F6E978CC202C40
83,Bangkok Kamphaeng Saen West,Waste,Unknown,8,,,Thailand,Progress Energy Co. Ltd,Thailand; United Kingdom,Zenith Green Energy Co. Ltd. (Thailand); Xentolar Holdings Ltd. (UK); Sindicatum Carbon Capital Ltd. (UK),, ,Thailand,Nakhon Pathom,Kamphaeng Saen,,Tha Chin,14.0563,99.9347, , ,,UNFCCC,Landfill gas collection,https://cdm.unfccc.int/Projects/DB/SGS-UKL1268326008.88/view,,0101000020E6100000D690B8C7D2FB584077D66EBBD01C2C40
84,Bangna Starch Wastewater Treatment,Waste,Unknown,2.85,,,Thailand,P & Papop Renewable Co. Ltd.,,,Switzerland,South Pole Carbon Asset Management ltd.,Thailand,Kalasin,Yang Talat,,Mun-Chi,16.3855,103.473, , ,,UNFCCC,Biogas from wastewater from tapioca starch,https://cdm.unfccc.int/Projects/DB/RWTUV1241593452.75/view,,0101000020E6100000BC0512143FDE5940184339D1AE623040
85,Bangpakong Power Plant,Biomass,Unknown,10.4,1991,,Thailand,"Advance Power Conversion Co., Ltd.",,,, ,Thailand,Chachoengsao,Sanam Chaikhet,,Chao Phraya-Ping,13.6309,101.429,"Actual location unknown, currently sited at locality in link/announcement", ,,Advance Power Conversion Co.,"Rice husk, eucalyptus bark and wood chips",http://www.apcon.co.th/wp-content/uploads/2019/04/APCON-presentation-R11.pdf,,0101000020E61000004850FC18735B5940FB7953910A432B40
86,Bangsapan-noi Biomass Company Limited Biomass Generation,Biomass,Unknown,8,2009,,Thailand,TPC Power Holding PLC,,,, ,Thailand,Prachuap Khiri Khan,Bang Saphan Noi,,Coastal Rivers Prachuap Khiri Khan-Chumphon,11.0617,99.4313,"Actual location unknown, currently sited at locality in link/announcement", ,,TPC Power Holding PLC website,Palm by-products,http://www.tpcpower.co.th/our-business/bio?lang=en#; http://tpch.listedcompany.com/misc/ShareholderMTG/egm201701/20170914-tpch-egm201701-enc02-en.pdf,,0101000020E6100000168733BF9ADB58401DACFF73981F2640
87,Banteay Meanchey Solar Plant,Solar,Under Construction,30,2022,,Thailand,Ray Power Supply Co. Ltd.,,,, ,Cambodia,Banteay Meanchey,Preah Netr Preah,,Steng Mongkol Borei-Battambang,13.6313,103.106,"Actual location unknown, currently sited at locality in link/announcement", ,,The Phnom Penh Post,https://www.khmertimeskh.com/50789427/sunny-days-for-solar-power/, https://www.phnompenhpost.com/national/banteay-meanchey-solar-energy-project-awarded,12:28:20,0101000020E6100000E498D134CDC659401BACEE4740432B40
88,Battambang 60 MW Solar,Solar,Under Construction,60,2020,,China,Risen Energy,Germany; EU; France,"Deutsche Investitions- und Entwicklungsgesellschaft, European Investmtn Bank, French Development Agency",, ,Cambodia,Battambang,Sangkae,,Steng Mongkol Borei-Battambang,13.0569,103.231,"Actual location unknown, currently sited at locality in link/announcement", ,,Online,https://www.pv-magazine.com/2019/07/15/cambodia-approves-four-pv-projects-totaling-140-mw/; https://www.khmertimeskh.com/50789427/sunny-days-for-solar-power/; https://www.phnompenhpost.com/business/china-firm-backs-battambang-solar-farm; https://www.khmertimeskh.com/50726630/listed-chinese-firm-licensed-to-build-another-solar-park/,https://www.akp.gov.kh/post/detail/13129,12:28:20,0101000020E6100000AE45B016C4CE59406346576D271D2A40
89,Bau Ngu (Điện mặt trời Bàu Ngứ),Solar,Under Construction,50,2019,,Vietnam,Công ty CP Đầu tư xây dựng và phát triển Trường Thành (Vietnam),,,, ,Vietnam,Ninh Thuận,Thuận Nam,,Song Cai Phan Rang,11.4713,108.962, ,100000,,Wikipedia,http://nangluongvietnam.vn/news/vn/dien-hat-nhan-nang-luong-tai-tao/nha-may-dien-mat-troi-bau-ngu-hoa-luoi-dien-quoc-gia.html,https://vi.wikipedia.org/wiki/%C4%90i%E1%BB%87n_m%E1%BA%B7t_tr%E1%BB%9Di_B%C3%A0u_Ng%E1%BB%A9,,0101000020E6100000363CBD52963D5B401ADD41EC4CF12640
90,Bau Zon (Điện mặt trời Bàu Zôn),Solar,Under Construction,25,2020,,Vietnam,Công ty Cổ phần Bắc Phương và Công ty TNHH năng lượng mặt trời TT.Sunglim (Vietnam),Vietnam,Vietcombank (Vietnam),, ,Vietnam,Ninh Thuận,Ninh Phước,,Song Cai Phan Rang,11.5169,108.887,"Actual location unknown, currently sited at locality in link/announcement", ,,Wikipedia,http://nangluongvietnam.vn/news/vn/dien-hat-nhan-nang-luong-tai-tao/ky-hop-dong-tong-thau-du-an-nha-may-dien-mat-troi-bau-zon.html,http://tintuc.wecvietnam.org/ky-hop-dong-tong-thau-du-an-nha-may-dien-mat-troi-bau-zon/,,0101000020E6100000696FF085C9385B400DE02D90A0082740
91,Bavet City Solar PV Plant,Solar,Operational,10,2017,,Singapore; Cambodia,"Sunseap (Asset) Cambodia Co. Ltd, majority-owned subsidiary of Sunseap Group (Singapore)",ADB,ADB,, ,Cambodia,Svay Rieng,Svay Teab,,Song Vam Co Dong,11.0723,106.06, , ,,IUCN,https://ppi.worldbank.org/snapshots/project/Svay-Rieng-PV-Solar-Farm-9096; https://www.khmertimeskh.com/5079197/solar-power-set-shine-bavet/; https://www.khmertimeskh.com/50556400/total-goes-solar/; https://d2oc0ihd6a5bt.clo, ,,0101000020E6100000401361C3D3835A40A2629CBF09252640
92,Bawgata,Hydro,Planned,160,2020,,Myanmar,Thoolei Co. (Myanmar),,,Myanmar,Thoolei (Myanmar),Myanmar,Bago,Taungoo,,Sittaung Mainstem,18.2556,96.8485, , ,,Myanmar Institute for Peace and Security,https://www.ifc.org/wps/wcm/connect/3f136d35-74fe-4601-90f8-4a03c4d22a2b/Chapter+2_SEA+Baseline+Assessment_Hydropower.pdf?MOD=AJPERES; https://www.ifc.org/wps/wcm/connect/07b1eba5-9c63-4f7c-8674-d463732a0395/Copy+of+18+02+07+MYA+SEA+HP+Database+WB-IFC.xl, ,,0101000020E6100000FCA9F1D24D3658406F2A52616C413240
93,BCG Bang Duong (Nhà máy điện mặt trời Băng Dương),Solar,Planned,40.6,2019,,Vietnam,"Bamboo Capital Group BCG (Tập đoàn Bamboo Capital) and Bang Duong Construction Co. Ltd. (Công ty TNHH Xây dựng Băng Dương - EPC), through BCG Bang Duong JSC",Vietnam,Tien Phong Bank,Vietnam; Germany,"TRACODI (Công Ty cổ phân Đầu tư Phát triển Công Nghiệp và Vận tải), Syntegra Solar (Germany) (Design consultant and supervisory consultant)",Vietnam,Long An,Thạnh Hóa,,Song Vam Ca Tay,10.5905,106.146, ,60000,,Sponsor Website,http://baolongan.vn/long-an-dong-tho-du-an-nha-may-dien-mat-troi-dau-tien-cong-suat-40-6mw-a62841.html, ,,0101000020E61000000C93A98251895A40AEF545425B2E2540
94,Belin,Hydro,Planned,280,2021,,Myanmar,Ministry of Electricity & Energy,,,Myanmar,Ministry of Electricity & Energy,Myanmar,Mon,Thaton,,Bilin,17.2109,97.2491,"Actual location unknown, currently sited at locality in link/announcement",,,Boston University,http://documents1.worldbank.org/curated/en/857971548867615099/pdf/134197-WP-MM-V2-SEA-Baseline-Assessment-Hydropower-PUBLIC.pdf,https://data.mendeley.com/datasets/ht9k5p3vdb/1,03:31:20,0101000020E61000002B5FC060F14F5840318CC3B2FC353140
95,"Ben Tre Nexif stage 1, 2, 3 (nhà máy Điện Gió Bến Tre Nexif Energy)",Wind,Under Construction,80,2020,,Singapore,Nexif Energy (Singapore),,,, ,Vietnam,Bến Tre,Thạnh Phú,,Vietnam Mekong Delta,9.87373,106.648,"Actual location unknown, currently sited at locality in link/announcement",250000,,Stimson database,http://www.nexifenergy.com/press_release/nexif-energy-receives-approval-build-80-mw-wind-power-project-vietnam/, ,,0101000020E61000007DAEB6627FA95A407311DF8959BF2340
96,Bhumibol Dam,Hydro,Operational,779,1964,,Thailand,EGAT (Thailand),,,Thailand,Yanhee Electricity Authority,Thailand,Tak,Sam Ngao,,Chao Phraya-Ping,17.2425,98.9722, , ,,Wikipedia,https://www.egat.co.th/en/information/power-plants-and-dams?view=article&id=50; https://data.mendeley.com/datasets/ht9k5p3vdb/1, ,03:31:20,0101000020E610000018213CDA38BE5840AE47E17A143E3140
97,BIA Co. Lted.,Waste,Unknown,1.4,,,Cambodia,Soma Energy,,,,,Cambodia,Battambang,Kamrieng,,Steng Mongkol Borei-Battambang,13.0912,102.449,"Actual location unknown, currently sited at locality in link/announcement",,,Soma Energy,,https://somaenergy.com.kh/projects/,12:21:20,0101000020E6100000213EB0E3BF9C59402DCF83BBB32E2A40
98,Big C roof-top solar,Solar,Under Construction,16,2019,,Japan,Sharp Corp (Japan),,,, ,Thailand,Nakhon Ratchasima,Muang Nakhon Ratchasima,,Mun-Chi,14.9447,102.05,"Actual location unknown, currently sited at locality in link/announcement", ,,Stimson renewable energy database,http://www.sharp-world.com/corporate/news/170622.html, ,,0101000020E61000006C787AA52C835940A4198BA6B3E32D40
99,BIM 1 (Nhà máy điện mặt trời BIM 1),Solar,Operational,30,2019,,Vietnam; Philippines,"CT Năng Lượng BIM Energy, Tập Đoàn BIM Group, AC Energy (subsidiary ò Ayala Group (Philippines)",Philippines; Vietnam,"Rizal Commercial Banking, BIM Group, AC Energy",France; Germany,"Bouygues Energies & Services, Juwi",Vietnam,Ninh Thuận,Thuận Nam,,Coastal Tributaries Binh Thuan,11.4434,108.898, ,545000,,Media,https://tuoitre.vn/ninh-thuan-co-them-3-nha-may-dien-mat-troi-20190427143351131.htm; https://www.nsenergybusiness.com/news/ac-energy-bim-group-solar/,https://www.nsenergybusiness.com/projects/bim-solar-power-plant/,12:21:20,0101000020E6100000136058FE7C395B404D83A27900E32640
100,BIM 2 (Nhà máy điện mặt tròi BIM 2),Solar,Operational,250,2019,,Vietnam; Philippines,"CT Năng Lượng BIM Energy, Tập Đoàn BIM Group, AC Energy (subsidiary ò Ayala Group (Philippines)",Philippines; Vietnam,"Rizal Commercial Banking, BIM Group, AC Energy",France,Bouygues Energies & Services,Vietnam,Ninh Thuận,Thuận Nam,,Coastal Tributaries Binh Thuan,11.4434,108.898, ,600000,,Media,https://www.nsenergybusiness.com/news/ac-energy-bim-group-solar/,https://www.nsenergybusiness.com/projects/bim-solar-power-plant/,12:21:20,0101000020E6100000136058FE7C395B404D83A27900E32640
101,BIM 3 (Nhà máy điện mặt trời BIM 3),Solar,Operational,50,2019,,Vietnam; Philippines,"CT Năng Lượng BIM Energy, Tập Đoàn BIM Group, AC Energy (subsidiary ò Ayala Group (Philippines)",Philippines; Vietnam,"Rizal Commercial Banking, BIM Group, AC Energy",France; Germany,"Bouygues Energies & Services, Juwi",Vietnam,Ninh Thuận,Thuận Nam,,Coastal Tributaries Binh Thuan,11.4434,108.898, , ,,Media,https://www.nsenergybusiness.com/news/ac-energy-bim-group-solar/,https://www.nsenergybusiness.com/projects/bim-solar-power-plant/,12:21:20,0101000020E6100000136058FE7C395B404D83A27900E32640
102,Binh An (Nhà máy điện mặt trời Bình An) 58.88 ha - completed in 3 stages,Solar,Operational,50,2019,,Vietnam,CT TNHH Năng Lượng Everich Bình Thuận,,,, ,Vietnam,Bình Thuận,Bắc Bình,,Song Luy,11.309,108.429, , ,,Sponsor Website, , ,,0101000020E610000033C4B12E6E1B5B40CA4FAA7D3A9E2640
